SI#	GENE	GDS	ORGANISM	SAMPLE
447	COX10	GDS5498	Homo sapiens	7
448	UGT1A3	GDS2490	Homo sapiens	11
449	AP5Z1	GDS5498	Homo sapiens	7
450	ABHD2	GDS2489	Homo sapiens	44
451	PDZK1IP1	GDS2489	Homo sapiens	44
452	TNNT3	GDS2489	Homo sapiens	44
453	FABP6	GDS2489	Homo sapiens	44
454	ME1	GDS2489	Homo sapiens	44
455	CYP1A1	GDS2489	Homo sapiens	44
456	MT1E	GDS2489	Homo sapiens	44
457	CCL5	GDS2489	Homo sapiens	44
458	CBR1	GDS2490	Homo sapiens	11
459	CYP1B1	GDS2489	Homo sapiens	44
460	ATP12A	GDS2489	Homo sapiens	44
461	UCHL1	GDS2489	Homo sapiens	44
462	CBR1	GDS2489	Homo sapiens	44
463	CLDN10	GDS2489	Homo sapiens	44
464	CYP1B1	GDS2491	Homo sapiens	9
465	CYP1B1	GDS2490	Homo sapiens	11
466	CYP1B1	GDS2490	Homo sapiens	11
467	AKR1B1	GDS2489	Homo sapiens	44
468	CYP1B1	GDS2491	Homo sapiens	9
469	UCHL1	GDS2491	Homo sapiens	9
470	XIST	GDS2491	Homo sapiens	9
471	AKR1C3	GDS2489	Homo sapiens	44
472	GPX2	GDS2490	Homo sapiens	11
473	AKR1B10	GDS2491	Homo sapiens	9
474	CYP1B1	GDS2491	Homo sapiens	9
475	AKR1B10	GDS2490	Homo sapiens	11
476	GPX2	GDS2489	Homo sapiens	44
477	NQO1	GDS2489	Homo sapiens	44
478	ME1	GDS2491	Homo sapiens	9
479	C3	GDS2489	Homo sapiens	44
480	RPS4Y1	GDS2491	Homo sapiens	9
481	DDX3Y	GDS2491	Homo sapiens	9
482	CDH11	GDS5247	Homo sapiens	6
483	AKR1C3	GDS5247	Homo sapiens	6
484	SERPINB2	GDS5247	Homo sapiens	6
485	CEACAM6	GDS3627	Homo sapiens	58
486	WARS	GDS5247	Homo sapiens	6
487	AGR2	GDS3627	Homo sapiens	58
488	CEACAM6	GDS3627	Homo sapiens	58
489	SLC26A2	GDS5247	Homo sapiens	6
490	SLC16A6	GDS5247	Homo sapiens	6
491	CSTA	GDS3627	Homo sapiens	58
492	FSTL1	GDS5247	Homo sapiens	6
493	PDK4	GDS5247	Homo sapiens	6
494	MLPH	GDS3627	Homo sapiens	58
495	MYO1E	GDS5247	Homo sapiens	6
496	GALC	GDS5247	Homo sapiens	6
497	TMC5	GDS3627	Homo sapiens	58
498	S100P	GDS3627	Homo sapiens	58
499	NKX2-1	GDS3627	Homo sapiens	58
500	SFTA2	GDS3627	Homo sapiens	58
501	XAGE1B	GDS3627	Homo sapiens	58
502	TSPAN8	GDS3627	Homo sapiens	58
503	TENM3	GDS5247	Homo sapiens	6
504	IGFBP4	GDS5247	Homo sapiens	6
505	GFPT2	GDS5247	Homo sapiens	6
506	KRT15	GDS3627	Homo sapiens	58
507	SORBS2	GDS3627	Homo sapiens	58
508	C16orf89	GDS3627	Homo sapiens	58
509	TMEM125	GDS3627	Homo sapiens	58
510	CLDN1	GDS3627	Homo sapiens	58
511	TXLNGY	GDS5247	Homo sapiens	6
512	PNMA2	GDS3627	Homo sapiens	58
513	SUSD2	GDS3627	Homo sapiens	58
514	SLC6A8	GDS3627	Homo sapiens	58
515	DNAJC12	GDS3627	Homo sapiens	58
516	PRR15L	GDS3627	Homo sapiens	58
517	FMO5	GDS3627	Homo sapiens	58
518	PTGS2	GDS3627	Homo sapiens	58
519	FAM72D	GDS5498	Homo sapiens	7
520	AGR2	GDS5498	Homo sapiens	7
521	HOPX	GDS5498	Homo sapiens	7
522	SLC6A8	GDS3627	Homo sapiens	58
523	UGT1A3	GDS3627	Homo sapiens	58
524	GPX2	GDS3627	Homo sapiens	58
525	PTHLH	GDS3627	Homo sapiens	58
526	COCH	GDS3627	Homo sapiens	58
527	TPRG1	GDS3627	Homo sapiens	58
528	ZNF385B	GDS3627	Homo sapiens	58
529	None	GDS3627	Homo sapiens	58
530	ULBP2	GDS3627	Homo sapiens	58
531	COBL	GDS3627	Homo sapiens	58
532	None	GDS3627	Homo sapiens	58
533	MYO5B	GDS5498	Homo sapiens	7
534	CYP4B1	GDS3627	Homo sapiens	58
535	HGD	GDS3627	Homo sapiens	58
536	ZNF362	GDS5498	Homo sapiens	7
537	AKR1C2	GDS5247	Homo sapiens	6
538	SEMA7A	GDS5040	Homo sapiens	6
539	STEAP4	GDS3627	Homo sapiens	58
540	SLC16A4	GDS3627	Homo sapiens	58
541	TSPAN13	GDS5247	Homo sapiens	6
542	NOTCH3	GDS5247	Homo sapiens	6
543	SEMA3D	GDS5247	Homo sapiens	6
544	AHCYL2	GDS3627	Homo sapiens	58
545	DPP4	GDS3627	Homo sapiens	58
546	FRMD6	GDS5247	Homo sapiens	6
547	PARM1	GDS3627	Homo sapiens	58
548	TMC5	GDS3627	Homo sapiens	58
549	ACSL5	GDS3627	Homo sapiens	58
550	IFITM2	GDS5247	Homo sapiens	6
551	CAV2	GDS5498	Homo sapiens	7
552	TXLNGY	GDS5247	Homo sapiens	6
553	TMTC1	GDS5247	Homo sapiens	6
554	PAPPA2	GDS5247	Homo sapiens	6
555	SLC6A8	GDS3627	Homo sapiens	58
556	AQP3	GDS5247	Homo sapiens	6
557	FGD6	GDS5247	Homo sapiens	6
558	TIPARP	GDS5247	Homo sapiens	6
559	MACC1	GDS3627	Homo sapiens	58
560	LOC105375172	GDS3627	Homo sapiens	58
561	GPR27	GDS3627	Homo sapiens	58
562	C1orf116	GDS3627	Homo sapiens	58
563	ACSM3	GDS3627	Homo sapiens	58
564	FGFR2	GDS3627	Homo sapiens	58
565	BZW1	GDS5498	Homo sapiens	7
566	PAPSS2	GDS5498	Homo sapiens	7
567	PLEKHB1	GDS3627	Homo sapiens	58
568	STEAP4	GDS3627	Homo sapiens	58
569	OIP5	GDS3627	Homo sapiens	58
570	GSPT1	GDS5498	Homo sapiens	7
571	None	GDS3627	Homo sapiens	58
572	GGTLC1	GDS3627	Homo sapiens	58
573	OSMR	GDS5498	Homo sapiens	7
574	SLC22A3	GDS3627	Homo sapiens	58
575	SULT1C2	GDS3627	Homo sapiens	58
576	PLEKHA6	GDS3627	Homo sapiens	58
577	LPAR3	GDS3627	Homo sapiens	58
578	TMPRSS2	GDS3627	Homo sapiens	58
579	HOXA1	GDS3627	Homo sapiens	58
580	AVL9	GDS5498	Homo sapiens	7
581	IGF2BP2	GDS5498	Homo sapiens	7
